"Releve","X_L93","Y_L93","Z_m","hauteur","sol_nu","SpRichness","group","Asttri","Elyath","Halpor","Junger","Junmar","Limvul","Phraus","Plamar","Pucmar","Salobs","Saleme","Sarper","Scimar","Spaang","Spaver","Trimar"
"S21",369959.2069,6415814.302,2.23,55,6,6,"A",0,3,0,0,7,2,0,0,0,0,0,0,0,0,4,0
"N19",370762.8806,6416357.203,1.463076923,140,2,6,"D",1,0,7,0,6,0.8,5,0,0,0,0,0,7,0,0,0
"N36",370612.2173,6416258.531,1.525692308,43,4,6,"C",3,0,6.2,0,2,0,0,0,0,3.8,0,0,3.6,0,0,1.6
"X10",371008.5323,6415855.666,1.284181818,30,8,4,"E",0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3
"T65",370057.4677,6415613.687,1.342988506,70,4,9,"C",6,0,5,0,7,0,0,3,5,6,0,3,0,0,0,3
"W24",371208.3259,6415854.03,1.107014925,40,6,2,"F",0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0
"N17",370662.9838,6416358.02,1.693636364,68,4,6,"D",0,0,7,0,7,4,2,0,0,0,0,0,6,0,0,0
"G10",370965.5375,6416705.212,1.957941176,82,4.4,7,"A",2,5.2,0.8,0,0,0,2,0,0,0,0,0,0,0,0,0
"O01",371063.3892,6416454.648,1.500701754,49,4.2,11,"D",2.8,0,5,0.8,2.2,3.4,0,3,2.6,3.8,0,0,0,0,1.2,0
"Q21",369608.7502,6415717.265,2.50962963,60,7.6,8,"A",0,1.2,0.2,0,4.2,0,0.8,0,0,0,0,0,0,0,2.2,0
"B09",370569.2223,6417108.077,2.375882353,250,4,5,"B",0,3,0,0,7,0,2,0,0,0,0,0,0,0,2,0
"B02",370469.7344,6417158.844,2.253939394,200,2,5,"B",0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0
"T21",370359.2031,6415860.98,1.210384615,35,6,5,"F",4,0,0,0,0,0,0,0,0,6,7,0,0,2,0,0
"K16",371214.0525,6416553.32,1.275301205,17,6.6,9,"D",0.4,0,3,1.4,2,1.8,0,2.4,1.8,0,0.4,0,0,0,0,0
"U07",371360.6254,6416152.499,1.220967742,40,4,5,"F",3,0,0,0,0,0,0,0,0,7,7,0,0,2,0,0
"B24",370618.3527,6417007.77,2.36575,50,3,6,"A",0,7,0,0,7,0,2,1,0,0,0,0,0,0,7,0
"O33",371361.0345,6416202.449,1.225,35,5,3,"F",0,0,0,0,0,0,0,0,0,3,8,0,0,2,0,0
"V09",370960.2201,6416055.872,1.363541667,60,5,11,"C",5,0,4,0,6,0,0,0,4,0,6,0,5,2,0,6
"U34",371309.4499,6416003.06,1.243050847,40,5,4,"F",6,0,0,0,0,0,0,0,0,8,3,0,0,6,0,0
"K03",371066.2524,6416804.293,2.633432836,200,3,7,"B",0,1.8,0,4,1,0,2,0,0,0,0,0,0,0,0,0
"L16",370264.2145,6416461.189,1.842647059,150,2,3,"D",0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0
"K15",371164.1041,6416553.729,1.458688525,54,3.8,11,"D",0.4,0,6.6,0,4,4.2,0,1.6,1.4,0,0.6,0,0,0,0,2.2
"T39",370058.2857,6415713.586,1.713478261,50,2,10,"C",4,0,7,0,6,6,0,2,0,4,0,3,0,0,0,5
"W09",371458.886,6415951.884,1.017741935,45,4,9,"E",6,0,0,0,5,0,0,0,3,3,4,4,0,6,0,0
"L29",370313.3449,6416360.882,1.637073171,104,2.4,7,"D",3.2,0,2.6,0,1.6,0,4,0,0,0,2.4,0,0,0,0,0
"K22",371263.1829,6416453.013,1.754509804,45,1,6,"D",0,0,6,0,4,6,0,0,3,0,0,0,0,0,0,1.6
"H16",370764.5167,6416557,1.399459459,70,2,7,"D",1,0,7,4,5,4,0,2.8,4,0,0,0,0,0,0,0
"C04",370769.4251,6417156.392,2.214561404,15,9.4,3,"B",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"G01",370966.7646,6416855.06,1.899230769,62,4.6,6,"A",0,2.2,2.8,1,7.2,0,0.8,0,0,0,0,0,0,0,2.4,0
"S08",370209.7669,6415912.156,1.2828,45,7,9,"C",3,0,2,0,5,4,0,0,5,0,3,2,0,0,0,5
"Q38",369607.5232,6415567.417,1.224444444,12,9.2,3,"F",0,0,0,0,0,0,0,0,0,0.4,2,0,0,1.8,0,0
"B13",370418.9679,6417059.355,2.1625,200,4,4,"B",0,5,0,6,0,0,4,0,0,0,0,0,0,0,0,0
"M11",370262.1694,6416211.443,1.267857143,19,5.8,3,"F",3.4,0,0,0,0,0,0,0,0,0,3.2,0,0,2.8,0,0
